PropName,Borough,System,Type of Water Feature
Soundview Park,X,X118-DF0500,Drinking Fountain
Harry Maze Playground,B,B285-DF0280,Drinking Fountain
Archie Spigner Park,Q,Q051-DF0857,Drinking Fountain
Pelham Bay Park,X,X039-DF0498,Drinking Fountain
Benninger Playground,Q,Q038-DF0321,Drinking Fountain
Highland Park,Q,Q020-DF0850,Drinking Fountain
Railroad Playground,B,B271-DF0643,Drinking Fountain
Tudor Park,Q,Q094-DF0594,Drinking Fountain
Central Park,M,M010-DF0653,Drinking Fountain
Alley Pond Park,Q,Q001-DF0706,Drinking Fountain
Forest Park,Q,Q015-DF0030,Drinking Fountain
Rocket Playground,Q,Q414-DF0523,Drinking Fountain
Harry Maze Playground,B,B285-DF0282,Drinking Fountain
Clove Lakes Park,R,R005-DF0166,Drinking Fountain
Howard Bennett Playground,M,M217-DF0546,Drinking Fountain
Allen Street Malls,M,M004-DF0447,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0864,Drinking Fountain
Jacob Joffe Fields,B,B324-DF0550,Drinking Fountain
Glenwood Playground,B,B236-DF0515,Drinking Fountain
Bellevue South Park,M,M263-DF0031,Drinking Fountain
Carl Schurz Park,M,M081-DF0262,Drinking Fountain
East River Playground,M,M258-DF0321,Drinking Fountain
Laurelton Parkway,Q,Q027-DF0765,Drinking Fountain
Joseph Austin Playground,Q,Q391-DF0294,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0777,Drinking Fountain
GREENSTREET,B,B057-DF0713,Drinking Fountain
Henry Hudson Park,X,X080-DF0449,Drinking Fountain
Highbridge Park,M,M037-DF0926,Drinking Fountain
Bill Rainey Park,X,X255-DF0568,Drinking Fountain
Barretto Point Park,X,X307-DF0575,Drinking Fountain
Auburndale Playground,Q,Q397-DF0536,Drinking Fountain
Kissena Park,Q,Q024-DF0562,Drinking Fountain
South Pacific Playground,B,B153-DF0151,Drinking Fountain
Quaker Parrot Park at the Dust Bowl,B,B146-DF0790,Drinking Fountain
Pelham Bay Park,X,X039-DF0008,Drinking Fountain
Van Cortlandt Park,X,X092-DF0226,Drinking Fountain
Central Park,M,M010-DF0621,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0287,Drinking Fountain
Cunningham Park,Q,Q021-DF0444,Drinking Fountain
Beach 30th Street Playground,Q,Q162H-DF0341,Drinking Fountain
Paul Raimonda Playground,Q,Q298-DF0052,Drinking Fountain
Little Flower Playground,M,M132-DF0290,Drinking Fountain
Webster Playground,X,X174-DF0219,Drinking Fountain
Haffen Park,X,X196-DF0574,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0405,Drinking Fountain
Glendale Veterans Triangle,Q,Q075-DF0189,Drinking Fountain
Twenty-Four Sycamores Park,M,M108Q-DF0265,Drinking Fountain
Co-op City Field,X,X251-DF0441,Drinking Fountain
Linden Park,B,B214-DF0025,Drinking Fountain
Lost Battalion Hall Recreation Center,Q,Q401-DF1019,Drinking Fountain
Central Park,M,M010-DF0562,Drinking Fountain
Mafera Park,Q,Q305-DF0553,Drinking Fountain
Randall's Island Park,M,M104-DF0166,Drinking Fountain
Crotona Park,X,X010-DF0330,Drinking Fountain
Wingate Park,B,B254-DF0954,Drinking Fountain
Shore Park and Parkway,B,B082-DF0780,Drinking Fountain
Bronx Park,X,X002-DF0070,Drinking Fountain
Central Park,M,M010-DF0584,Drinking Fountain
Tompkins Square Park,M,M088-DF0304,Drinking Fountain
Forest Park,Q,Q015-DF0007,Drinking Fountain
Greenwood Playground,B,B130-DF0547,Drinking Fountain
Fort Greene Park,B,B032-DF0324,Drinking Fountain
Cambria Playground,Q,Q339-DF0660,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0412,Drinking Fountain
Marble Hill Playground,X,X202-DF0406,Drinking Fountain
Potomac Playground,B,B262-DF0425,Drinking Fountain
Beach 30th Street Playground,Q,Q162H-DF0343,Drinking Fountain
Soundview Park,X,X118-DF0415,Drinking Fountain
Riverside Park South,M,M353-DF0686,Drinking Fountain
Francis Lewis Park,Q,Q126-DF0676,Drinking Fountain
Clove Lakes Park,R,R005-DF0164,Drinking Fountain
Freshkills Park,R,R017-DF0186,Drinking Fountain
Walt Whitman Park,B,B113E-DF0801,Drinking Fountain
Bushwick Playground,B,B017-DF0045,Drinking Fountain
Cooper Triangle,M,M016-DF0302,Drinking Fountain
Telephone Playground,Q,Q349-DF0618,Drinking Fountain
Cardozo Playground,Q,Q382-DF0215,Drinking Fountain
Bronx River Parkway,X,X004-DF0079,Drinking Fountain
Poseidon Playground,B,B169B-DF0325,Drinking Fountain
Nelson Playground,X,X168-DF0193,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0994,Drinking Fountain
Fort Hamilton Athletic Field,B,B192A-DF0882,Drinking Fountain
Cunningham Park,Q,Q021-DF0511,Drinking Fountain
Whalen Playground,X,X180-DF0492,Drinking Fountain
Riverside Park,M,M071-DF0027,Drinking Fountain
The High Line,M,M360-DF0121,Drinking Fountain
Central Park,M,M010-DF1113,Drinking Fountain
Forest Park,Q,Q015-DF0910,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0356,Drinking Fountain
Crotona Park,X,X010-DF0340,Drinking Fountain
Bloomingdale Park,R,R106-DF0136,Drinking Fountain
First Park,M,M124-DF0221,Drinking Fountain
Rienzi Playground,X,X141-DF0045,Drinking Fountain
Central Park,M,M010-DF0272,Drinking Fountain
Howard Pool,B,B260A-DF1091,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0523,Drinking Fountain
MacLaughlin Playground,X,X224-DF0359,Drinking Fountain
Highbridge Park,M,M037-DF0877,Drinking Fountain
Owen F. Dolen Park,X,X016-DF0521,Drinking Fountain
Beach 30th Street Playground,Q,Q162H-DF0193,Drinking Fountain
Faber Pool and Park,R,R008-DF0193,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0833,Drinking Fountain
Ambrosini Field,X,X253-DF0018,Drinking Fountain
Inwood Hill Park,M,M042-DF0180,Drinking Fountain
East Springfield Playground,Q,Q404-DF0788,Drinking Fountain
Sunrise Playground,Q,Q430-DF0686,Drinking Fountain
Prospect Park,B,B073-DF1054,Drinking Fountain
Riverside Park,M,M071-DF0095,Drinking Fountain
Prospect Park,B,B073-DF0914,Drinking Fountain
Fort Greene Park,B,B032-DF0320,Drinking Fountain
Big Bush Playground,Q,Q205A-DF0121,Drinking Fountain
Central Park,M,M010-DF0557,Drinking Fountain
Central Park,M,M010-DF0122,Drinking Fountain
Vinmont Veteran Park,X,X152-DF0473,Drinking Fountain
Commodore Barry Park,B,B021-DF0230,Drinking Fountain
Central Park,M,M010-DF0596,Drinking Fountain
Central Park,M,M010-DF0666,Drinking Fountain
Galapo Playground,B,B209-DF0687,Drinking Fountain
Louis Armstrong Community Center,Q,Q468-DF0978,Drinking Fountain
Robert E. Venable Park,B,B380-DF0195,Drinking Fountain
Harvey Park,Q,Q089B-DF0656,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0198,Drinking Fountain
Greenwood Playground,B,B130-DF0544,Drinking Fountain
Randall's Island Park,M,M104-DF0159,Drinking Fountain
Nostrand Playground,B,B250-DF0631,Drinking Fountain
Matthews Muliner Playground,X,X178-DF0247,Drinking Fountain
St. James Park,X,X044-DF0535,Drinking Fountain
Marconi Park,Q,Q127-DF0485,Drinking Fountain
Tompkins Square Park,M,M088-DF0306,Drinking Fountain
Concrete Plant Park,X,X305-DF0331,Drinking Fountain
Kolbert Playground,B,B150-DF0992,Drinking Fountain
Metropolitan Recreation Center,B,B085-DF1067,Drinking Fountain
McKinley Park,B,B060-DF0753,Drinking Fountain
Starlight Park,X,X147A-DF0503,Drinking Fountain
Nathan Straus Playground,M,M241-DF0300,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0409,Drinking Fountain
Valentino Pier,B,B418-DF0275,Drinking Fountain
Fort Totten Park,Q,Q458-DF0980,Drinking Fountain
Forest Park,Q,Q015-DF0848,Drinking Fountain
Fort Washington Park,M,M028-DF0056,Drinking Fountain
Inwood Hill Park,M,M042-DF0126,Drinking Fountain
Captain William Harry Thompson Playground,X,X159-DF0123,Drinking Fountain
Kosciuszko Pool,B,B351-DF1113,Drinking Fountain
Central Park,M,M010-DF1048,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0564,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0063,Drinking Fountain
Prospect Park,B,B073-DF0955,Drinking Fountain
Battery Park City,M,M283-DF0171,Drinking Fountain
Louis Pasteur Park,Q,Q369-DF0729,Drinking Fountain
Virginia Park,X,X148L1-DF0470,Drinking Fountain
Seth Low Playground/ Bealin Square,B,B100-DF0644,Drinking Fountain
McLaughlin Park,B,B061-DF0973,Drinking Fountain
Neighborhood Parks,B,BT07-DF0905,Drinking Fountain
St. Nicholas Park,M,M077-DF0481,Drinking Fountain
Albert Capsouto Park,M,M145-DF0270,Drinking Fountain
Randall's Island Park,M,M104-DF1091,Drinking Fountain
Kissena Corridor Park,Q,Q300-DF0630,Drinking Fountain
Sherman Creek,M,MZ468-DF0880,Drinking Fountain
Rappaport Playground,B,B152-DF0760,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0993,Drinking Fountain
Midland Field,R,R038A-DF0240,Drinking Fountain
Quarry Ballfields,X,X263-DF0275,Drinking Fountain
Whitestone Playground,Q,Q343-DF0061,Drinking Fountain
Red Hook Recreation Area,B,B126-DF1075,Drinking Fountain
Van Cortlandt Park,X,X092-DF0436,Drinking Fountain
Twenty-Four Sycamores Park,M,M108Q-DF0636,Drinking Fountain
College Point Park,Q,Q457-DF0649,Drinking Fountain
College Point Fields,Q,Q476-DF0529,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0395,Drinking Fountain
Zimmerman Playground,X,X087-DF0122,Drinking Fountain
St. Mary's Park,B,B118A-DF01156,Drinking Fountain
MacArthur Playground,M,M256-DF0019,Drinking Fountain
Heckscher Playground,B,B139-DF0063,Drinking Fountain
Jaime Campiz Playground,B,B223R-DF0797,Drinking Fountain
Wagner Houses Pool,M,M273-DF1068,Drinking Fountain
Callahan-Kelly Playground,B,B219-DF0172,Drinking Fountain
Forest Park,Q,Q015-DF0026,Drinking Fountain
McCarren Park,B,B058-DF0217,Drinking Fountain
Bowne Playground,Q,Q308-DF0872,Drinking Fountain
Gen. Douglas MacArthur Park,R,R067-DF0094,Drinking Fountain
Central Park,M,M010-DF0580,Drinking Fountain
Bill Brown Playground,B,B109-DF0702,Drinking Fountain
Ferry Point Park,X,X126-DF0488,Drinking Fountain
Jacob H. Schiff Playground,M,M223-DF0491,Drinking Fountain
McCarren Park,B,B058-DF0221,Drinking Fountain
Cooney Grauer Field,X,X150I-DF0476,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0315,Drinking Fountain
Jerome Playground,B,B246-DF0157,Drinking Fountain
Dyker Beach Park,B,B028-DF0659,Drinking Fountain
Prospect Park,B,B073-DF0855,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0282,Drinking Fountain
East River Waterfront Esplanade,M,M391-DF0331,Drinking Fountain
Walter Ward Playground,Q,Q421-DF0540,Drinking Fountain
Breininger Park,Q,Q134-DF0680,Drinking Fountain
Central Park,M,M010-DF0619,Drinking Fountain
Cunningham Park,Q,Q021-DF0938,Drinking Fountain
Midland Field,R,R038A-DF0058,Drinking Fountain
Bronx Park,X,X002-DF0241,Drinking Fountain
Marcus Garvey Park,M,M058-DF0499,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0231,Drinking Fountain
Alley Pond Park,Q,Q001-DF0703,Drinking Fountain
Central Park,M,M010-DF0626,Drinking Fountain
Brookville Park,Q,Q008-DF0762,Drinking Fountain
Tudor Park,Q,Q094-DF0495,Drinking Fountain
E.M.T. Christopher J. Prescott Playground,R,R085-DF0007,Drinking Fountain
Prospect Park,B,B073-DF0940,Drinking Fountain
Hell's Kitchen Park,M,M277-DF0140,Drinking Fountain
Morningside Park,M,M056-DF0459,Drinking Fountain
Little Claremont Playground,X,X299-DF0497,Drinking Fountain
Rolph Henry Playground,B,B148-DF0306,Drinking Fountain
Grant Park,X,X271-DF0603,Drinking Fountain
John E. White Park,R,R012-DF0072,Drinking Fountain
Central Park,M,M010-DF0939,Drinking Fountain
Fort Totten Park,Q,Q458-DF0881,Drinking Fountain
Belmont Playground,B,B283-DF0059,Drinking Fountain
Virginia Playground,X,X148L-DF0468,Drinking Fountain
Jesse Owens Playground,B,B269-DF0997,Drinking Fountain
Lyons Square Playground,X,X029-DF0216,Drinking Fountain
Lillian D Wald Playground,M,M064-DF0293,Drinking Fountain
Williamsbridge Oval,X,X104-DF0562,Drinking Fountain
Randall's Island Park,M,M104-DF1088,Drinking Fountain
Fort Washington Park,M,M028-DF0057,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0587,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0311,Drinking Fountain
Spring Creek Park,B,B371-DF0110,Drinking Fountain
Crack Is Wack Playground,M,M208E-DF0414,Drinking Fountain
Cunningham Park,Q,Q021-DF0158,Drinking Fountain
Sternberg Park,B,B055-DF0414,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0990,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF1024,Drinking Fountain
McCarren Park,B,B058-DF0404,Drinking Fountain
Central Park,M,M010-DF0660,Drinking Fountain
Callahan-Kelly Playground,B,B219-DF0171,Drinking Fountain
Pelham Bay Park,X,X039-DF0446,Drinking Fountain
Frank Principe Park,Q,Q131-DF0905,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0914,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0326,Drinking Fountain
Leif Ericson Park,B,B052-DF0762,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0244,Drinking Fountain
Fox Park,X,X247-DF0262,Drinking Fountain
Carl Schurz Park,M,M081-DF0975,Drinking Fountain
Central Park,M,M010-DF0585,Drinking Fountain
Downing Street Playground,M,M027-DF0613,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0393,Drinking Fountain
Bushwick Playground,B,B017-DF0044,Drinking Fountain
Travers Park,Q,Q303-DF0895,Drinking Fountain
De Witt Clinton Park,M,M022-DF0236,Drinking Fountain
Marie Curie Playground,Q,Q364-DF0624,Drinking Fountain
Ten Eyck Playground,B,B311-DF0998,Drinking Fountain
Triborough Bridge Playground C,Q,Q066C-DF0860,Drinking Fountain
Carroll Park,B,B019-DF0242,Drinking Fountain
Utopia Playground,Q,Q294-DF0366,Drinking Fountain
Willowbrook Park,R,R030-DF0019,Drinking Fountain
Alley Park,Q,Q356-DF0696,Drinking Fountain
Coleman Playground,M,M019-DF0431,Drinking Fountain
Hilltop Playground,B,B387-DF0147,Drinking Fountain
Central Park,M,M010-DF0647,Drinking Fountain
Little Bay Park,Q,Q010A-DF0664,Drinking Fountain
Inwood Hill Park,M,M042-DF0136,Drinking Fountain
Taaffe Playground,B,B105-DF0441,Drinking Fountain
Dimattina Playground,B,B223B-DF0240,Drinking Fountain
Jesse Owens Playground,B,B269-DF0996,Drinking Fountain
John J Carty Park,B,B210W-DF1084,Drinking Fountain
Cunningham Park,Q,Q021-DF0436,Drinking Fountain
Carl Schurz Park,M,M081-DF0257,Drinking Fountain
P.S. 29 Ballfield,X,X354-DF0307,Drinking Fountain
Marconi Park,Q,Q127-DF0299,Drinking Fountain
Fort Independence Playground,X,X020-DF0412,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0945,Drinking Fountain
Tottenville Pool,R,R110-DF0263,Drinking Fountain
Idlewild Park,Q,Q392-DF0770,Drinking Fountain
Nautilus Playground,B,B268-DF0353,Drinking Fountain
Montbellier Park,Q,Q396-DF0688,Drinking Fountain
West Harlem Piers,M,M376-DF0060,Drinking Fountain
Brigadier General Charles Young Playground,M,M186-DF0539,Drinking Fountain
Austin J. McDonald Playground,R,R034-DF0184,Drinking Fountain
Lincoln Terrace / Arthur S. Somers Park,B,B054-DF0493,Drinking Fountain
Two Coves Community Garden,Q,Q477-DF0809,Drinking Fountain
Bensonhurst Park,B,B007-DF0756,Drinking Fountain
Bushwick Inlet Park,B,B529-DF1117,Drinking Fountain
Pomonok Playground,Q,Q329-DF0387,Drinking Fountain
Clintonville Playground,Q,Q390-DF0690,Drinking Fountain
Kelly Park Playground,B,B051-DF0671,Drinking Fountain
Torsney Playground,Q,Q340-DF0086,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0684,Drinking Fountain
Bridge Park,X,X094-DF0380,Drinking Fountain
Decatur Playground,B,B215-DF0960,Drinking Fountain
Bicentennial Veterans Memorial Park,X,X191A-DF0033,Drinking Fountain
Sternberg Park,B,B055-DF0413,Drinking Fountain
Rockaway Freeway,Q,Q219-DF0171,Drinking Fountain
Bronx Park,X,X002-DF0512,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0419,Drinking Fountain
Central Park,M,M010-DF0645,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0050,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0261,Drinking Fountain
Cadman Plaza Park,B,B113A-DF1016,Drinking Fountain
John Jay Park,M,M045-DF0223,Drinking Fountain
Edmonds Playground,B,B321-DF0222,Drinking Fountain
Sorrentino Recreation Center,Q,Q446-DF0983,Drinking Fountain
Whitefish Triangle,Q,Q360G-DF0738,Drinking Fountain
Willis Playground,X,X217-DF0184,Drinking Fountain
Bushwick Playground,B,B310-DF1101,Drinking Fountain
Rev. Dr. Maggie Howard Playground,R,R061-DF0068,Drinking Fountain
Sunset Park,B,B087-DF0555,Drinking Fountain
Sankofa Park,B,B261-DF0181,Drinking Fountain
Jacobs Riis Park,Q,Q049-DF0985,Drinking Fountain
Middle Village Playground,Q,Q101-DF0166,Drinking Fountain
Beach 17 Playground,Q,Q162J-DF0355,Drinking Fountain
Nostrand Playground,B,B250-DF1150,Drinking Fountain
Rufus King Park,Q,Q023-DF0856,Drinking Fountain
Tompkins Square Park,M,M088-DF0312,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0248,Drinking Fountain
Manhattan Beach Park,B,B251-DF0611,Drinking Fountain
Davis Playground,R,R086-DF0105,Drinking Fountain
Tappen Park,R,R028-DF0063,Drinking Fountain
Randall's Island Park,M,M104-DF1101,Drinking Fountain
Frontera Park,Q,Q360M-DF0175,Drinking Fountain
Murray Hill Playground,Q,Q437-DF0720,Drinking Fountain
West Harlem Piers,M,M376-DF0058,Drinking Fountain
McLaughlin Park,B,B061-DF0968,Drinking Fountain
Moore Playground,M,M204-DF0422,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0219,Drinking Fountain
Pulaski Park,X,X041-DF0309,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0956,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0079,Drinking Fountain
Van Cortlandt Park,X,X092-DF0236,Drinking Fountain
St. Mary's Park,X,X045-DF0541,Drinking Fountain
Bronx River Parkway,X,X004-DF0151,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0360,Drinking Fountain
Parade Ground,B,B068-DF0350,Drinking Fountain
Stapleton Esplanade,R,R170-DF0066,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0760,Drinking Fountain
Claremont Park,X,X008-DF0060,Drinking Fountain
Stroud Playground,B,B350-DF0957,Drinking Fountain
Inwood Hill Park,M,M042-DF0129,Drinking Fountain
Bensonhurst Park,B,B007-DF0767,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0313,Drinking Fountain
Martin Luther Playground,B,B098-DF0524,Drinking Fountain
Colucci Playground,X,X122-DF0196,Drinking Fountain
Poor Richard's Playground,M,M230-DF0514,Drinking Fountain
College Point Fields,Q,Q476-DF0530,Drinking Fountain
Frontera Park,Q,Q360M-DF0739,Drinking Fountain
Cunningham Park,Q,Q021-DF0507,Drinking Fountain
Father Macris Park,R,R075A-DF0023,Drinking Fountain
Pelham Bay Park,X,X039-DF0012,Drinking Fountain
MacArthur Playground,M,M256-DF0064,Drinking Fountain
Gen. Douglas MacArthur Park,R,R067-DF0090,Drinking Fountain
Sheepshead Playground,B,B239-DF0693,Drinking Fountain
Haffen Park,X,X196-DF0041,Drinking Fountain
Harold Schneiderman Playground,Q,Q408-DF0542,Drinking Fountain
Central Park,M,M010-DF0330,Drinking Fountain
Central Park,M,M010-DF0669,Drinking Fountain
City Line Park,B,B141-DF0188,Drinking Fountain
Yak Playground,B,B308-DF0691,Drinking Fountain
Prospect Park,B,B073-DF1144,Drinking Fountain
Joseph C. Sauer Park,M,M113-DF0316,Drinking Fountain
St. John's Park,B,B245-DF0477,Drinking Fountain
St. Michael's Playground,Q,Q174A-DF0055,Drinking Fountain
Beach 9 Playground,Q,Q162J01-DF0345,Drinking Fountain
Asser Levy Playground,M,M164-DF1009,Drinking Fountain
Dean Playground,B,B232-DF0450,Drinking Fountain
Kissena Park,Q,Q024-DF0640,Drinking Fountain
Parade Ground,B,B068-DF0333,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0998,Drinking Fountain
Beach 17 Playground,Q,Q162J-DF0196,Drinking Fountain
Seton Park,X,X201-DF0117,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0603,Drinking Fountain
Central Park,M,M010-DF0276,Drinking Fountain
Hallets Cove Playground,Q,Q226-DF1032,Drinking Fountain
Skyline Playground,R,R123-DF0104,Drinking Fountain
Neptune Playground,B,B331-DF0286,Drinking Fountain
Astoria Park,Q,Q004-DF0461,Drinking Fountain
Curtis Playground,B,B352-DF0393,Drinking Fountain
Central Park,M,M010-DF1052,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0331,Drinking Fountain
Starr Playground,Q,Q291-DF0174,Drinking Fountain
Aqueduct Walk,X,X001A-DF0366,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0371,Drinking Fountain
Dimattina Playground,B,B223A-DF0649,Drinking Fountain
Mitchel Square,M,M054-DF0062,Drinking Fountain
Breukelen Ballfields,B,B247-DF0446,Drinking Fountain
Dyker Beach Park,B,B028-DF0653,Drinking Fountain
Southern Fields,Q,Q096B-DF0491,Drinking Fountain
Tucker Place,B,B240-DF0618,Drinking Fountain
Helen Marshall Playground,Q,Q373-DF0156,Drinking Fountain
Tecumseh Playground,M,M219-DF0322,Drinking Fountain
Bush Terminal Park,B,BT15-DF0740,Drinking Fountain
Astoria Park,Q,Q004-DF0996,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0009,Drinking Fountain
Riverside Park,M,M072-DF0063,Drinking Fountain
Silver Lake Park,R,R022-DF0154,Drinking Fountain
Spring Street Park,M,MZ02-DF0870,Drinking Fountain
Riverside Park,M,M071-DF0016,Drinking Fountain
Schmul Park,R,R045-DF0025,Drinking Fountain
Sol Lain Plgd,M,M235-DF0296,Drinking Fountain
Irving Square Park,B,B049-DF0042,Drinking Fountain
Webster Playground,X,X174-DF0355,Drinking Fountain
McCarren Park,B,B058-DF0213,Drinking Fountain
Commodore Barry Park,B,B021-DF0733,Drinking Fountain
Arsenal West,M,MT03-DF1079,Drinking Fountain
Van Cortlandt Park,X,X092-DF0453,Drinking Fountain
Abraham Lincoln Playground,M,M193-DF0548,Drinking Fountain
Strawberry Playground,B,B223PC-DF0224,Drinking Fountain
Merriam Playground,X,X153-DF0189,Drinking Fountain
Great Kills Park,R,R016-DF0006,Drinking Fountain
Hunts Point Playground,X,X113-DF0487,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0062,Drinking Fountain
Alley Athletic Playground,Q,Q001A-DF0709,Drinking Fountain
Pratt Playground,B,B292-DF0216,Drinking Fountain
Holcombe Rucker Park,M,M216-DF0523,Drinking Fountain
Fort Greene Park,B,B032-DF0322,Drinking Fountain
Harvey Park,Q,Q089B-DF0658,Drinking Fountain
Central Park,M,M010-DF0936,Drinking Fountain
Franz Sigel Park,X,X047-DF0403,Drinking Fountain
Jackie Robinson Playground,B,B357-DF0316,Drinking Fountain
Cambria Playground,Q,Q339-DF0659,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0366,Drinking Fountain
Spirit Playground,Q,Q429-DF0039,Drinking Fountain
Renaissance Playground,M,M245-DF0127,Drinking Fountain
Dry Dock Playground,M,M270-DF0907,Drinking Fountain
Butterfly Gardens,B,B255G-DF0895,Drinking Fountain
Ocean Hill Playground,B,B144-DF0153,Drinking Fountain
Lost Battalion Hall Recreation Center,Q,Q401-DF1011,Drinking Fountain
Manhattan Beach Park,B,B251-DF0610,Drinking Fountain
Forest Park,Q,Q015-DF0912,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0524,Drinking Fountain
Pelham Bay Park,X,X039-DF0091,Drinking Fountain
Randall's Island Park,M,M104-DF0146,Drinking Fountain
Grover Cleveland Playground,Q,Q002-DF0516,Drinking Fountain
Soundview Park,X,X118-DF0417,Drinking Fountain
Lieutenant John H. Martinson Playground,R,R090-DF0016,Drinking Fountain
Forest Park,Q,Q015-DF0022,Drinking Fountain
Mosholu Parkway,X,X033-DF0164,Drinking Fountain
Jesse Owens Playground,B,B269-DF1148,Drinking Fountain
McCarren Park,B,B058-DF1031,Drinking Fountain
Redfern Playground,Q,Q345-DF0340,Drinking Fountain
Coney Island Boat Basin,B,B166C-DF0619,Drinking Fountain
Hunts Point Riverside Park,X,X336-DF0264,Drinking Fountain
Bowne Playground,Q,Q308-DF0870,Drinking Fountain
Riverside Park,M,M071-DF0083,Drinking Fountain
Fort Totten Park,Q,Q458-DF0974,Drinking Fountain
Claremont Park,X,X008-DF0553,Drinking Fountain
Pelham Bay Park,X,X039-DF0589,Drinking Fountain
Marcy Playground,B,B217-DF0087,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0879,Drinking Fountain
Little Bay Park,Q,Q010A-DF0844,Drinking Fountain
Highbridge Park,M,M037-DF0925,Drinking Fountain
Union Square Park,M,M089-DF0981,Drinking Fountain
Jackie Robinson Playground,B,B357-DF0317,Drinking Fountain
Melrose Playground,X,X154-DF0299,Drinking Fountain
Central Park,M,M010-DF0671,Drinking Fountain
St. Mary's Park,X,X045-DF0178,Drinking Fountain
Quaker Parrot Park at the Dust Bowl,B,B146-DF0791,Drinking Fountain
Grady Playground,B,B275-DF0747,Drinking Fountain
Evergreen Park,Q,Q302-DF0165,Drinking Fountain
Mount Prospect Park,B,B159-DF0458,Drinking Fountain
Martinez Playground,B,B127-DF0461,Drinking Fountain
Williamsbridge Oval,X,X104-DF0136,Drinking Fountain
Judge Moses Weinstein Playground,Q,Q336-DF0259,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0968,Drinking Fountain
East River Waterfront Esplanade,M,M391-DF0471,Drinking Fountain
Mount Prospect Park,B,B159-DF0460,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0582,Drinking Fountain
West 4th Street Courts,M,M125C-DF0210,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0406,Drinking Fountain
Little Flower Playground,M,M132-DF0289,Drinking Fountain
Madison Square Park,M,M052-DF0102,Drinking Fountain
Central Park,M,M010-DF0566,Drinking Fountain
Lincoln Terrace / Arthur S. Somers Park,B,B054-DF0498,Drinking Fountain
Van Cortlandt Park,X,X092-DF0483,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0310,Drinking Fountain
Commodore Barry Park,B,B021-DF1131,Drinking Fountain
The Battery,M,M005-DF0280,Drinking Fountain
Greenpoint Playground,B,B043-DF0205,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0225,Drinking Fountain
Wards Island Park,M,M107-DF0155,Drinking Fountain
